Inhibitor;Target;Pathway
Regorafenib;KIT, RET, TIE2, VEGFR;VEGF/TIE2/KIT/RET signaling
Pazopanib;KIT, PDGFR, VEGFR;VEGF/PDGFR/KIT signaling
Sunitinib;KIT, PDGFR, VEGFR;VEGF/PDGFR/KIT signaling
Sunitinib;PDGFR, VEGFR, c-KIT;Angiogenesis signaling
Lenvatinib;FGFR, RET, VEGFR;VEGF/FGFR/RET signaling
Axitinib;VEGFR;VEGF signaling (angiogenesis)
Fostamatinib;Syk;Syk signaling (immune signaling)
Entrectinib;ALK, ROS1, TRK (NTRK);ROS1/ALK/TRK signaling
Sorafenib;RAF, VEGFR;MAPK/ERK pathway
Everolimus;mTOR (via FKBP12);PI3K/AKT/mTOR pathway
Temsirolimus;mTOR (via FKBP12);PI3K/AKT/mTOR pathway
Cabozantinib;MET, RET, VEGFR;MET/VEGF/RET signaling
Binimetinib;MEK1/2;MAPK/ERK pathway
Cobimetinib;MEK1/2;MAPK/ERK pathway
Dabrafenib;BRAF;MAPK/ERK pathway
Encorafenib;BRAF;MAPK/ERK pathway
Erlotinib;EGFR;MAPK/ERK pathway
PD0325901;MEK1/2;MAPK/ERK pathway
PLX8394;BRAF;MAPK/ERK pathway
SCH772984;ERK1/2;MAPK/ERK pathway
Selumetinib;MEK1/2;MAPK/ERK pathway
Sorafenib;BRAF, RAF1;MAPK/ERK pathway
Sorafenib;PDGFR, RAF, VEGFR;MAPK/ERK, VEGF signaling
Trametinib;MEK1/2;MAPK/ERK pathway
Tofacitinib;JAK1/3;JAK/STAT pathway
Ruxolitinib;JAK1/2;JAK/STAT pathway
Midostaurin;FLT3, KIT;FLT3/KIT signaling
Gilteritinib;FLT3;FLT3 signaling (RTK pathway)
Vandetanib;EGFR, RET, VEGFR;EGFR/VEGF/RET signaling
Afatinib;EGFR, HER2;EGFR/HER2 signaling (RTK pathway)
Lapatinib;EGFR, HER2;EGFR/HER2 signaling (RTK pathway)
Neratinib;EGFR, HER2;EGFR/HER2 signaling (RTK pathway)
Osimertinib;EGFR (T790M-specific);EGFR signaling (RTK pathway)
U0126;MEK1/2;MAPK/ERK pathway
Ulixertinib (BVD-523);ERK1/2;MAPK/ERK pathway
Gefitinib;EGFR;PI3K/AKT pathway
Erlotinib;EGFR;EGFR signaling (RTK pathway)
Gefitinib;EGFR;EGFR signaling (RTK pathway)
Pexidartinib;CSF1R, KIT;CSF1R/KIT signaling
Palbociclib;CDK4/6;Cell cycle (Cyclin D-CDK4/6-Rb)
Ribociclib;CDK4/6;Cell cycle (Cyclin D-CDK4/6-Rb)
Abemaciclib;CDK4, CDK6;Cell cycle (Cyclin D-CDK4/6-Rb)
Acalabrutinib;BTK;B-cell receptor (BCR) signaling
Ibrutinib;BTK;B-cell receptor (BCR) signaling
Zanubrutinib;BTK;B-cell receptor (BCR) signaling
Vemurafenib;BRAF;MAPK signaling
Dasatinib;BCR-ABL, Src;Cell growth and survival
Bosutinib;BCR-ABL, Src;BCR-ABL/Src signaling
Dasatinib;BCR-ABL, Src;BCR-ABL/Src signaling
Imatinib;BCR-ABL, KIT, PDGFR;BCR-ABL/KIT/PDGFR signaling
Imatinib;BCR-ABL, PDGFR, c-KIT;Cell proliferation, survival signaling
