name,SimplifiedDisease,Disease,TissueOfOrigin,url,catalogueNumber,Collection,Species
MLA144,Sarcoma,Lymphosarcoma,Other,https://www.culturecollections.org.uk/nop/product/mla144,86102901,General Cell,Monkey
ZR-75-1,Carcinoma,Ductal Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/zr-75-1,87012601,General Cell,Human
Clone M-3,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/clone-m-3,87081806,General Cell,Mouse
SW480,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/sw480,87092801,General Cell,Human
CRI-G5,Other,Insulinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/cri-g5,88031603,General Cell,Rat
AV3 (HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/av3-hela-derivative,88102402,General Cell,Human
XC,Sarcoma,Sarcoma,Muscle,https://www.culturecollections.org.uk/nop/product/xc,88120601,General Cell,Rat
HL60 Ast.3,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/hl60-ast3,88120801,General Cell,Human
HL60 Ast.4,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/hl60-ast4,88120802,General Cell,Human
FEL,Carcinoma,Adenocarcinoma,Embryo,https://www.culturecollections.org.uk/nop/product/fel,89020802,General Cell,Rabbit
I-10,Tumour,Leydig Cell Tumour,Testis,https://www.culturecollections.org.uk/nop/product/i-10,89031605,General Cell,Mouse
DDT1-MF2,Sarcoma,Leiomyosarcoma,Testis,https://www.culturecollections.org.uk/nop/product/ddt1-mf2,89051703,General Cell,Hamster
C127I,Tumour,Tumour,Mammary gland,https://www.culturecollections.org.uk/nop/product/c127i,90060504,General Cell,Mouse
KU-812F,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/ku-812f,90071804,General Cell,Human
LL86 (LeSa),Cancer,Normal Tissue from Cancer Patient,Lung,https://www.culturecollections.org.uk/nop/product/ll86-lesa,90102541,General Cell,Human
GS-109-V-63,Cancer,Normal Tissue from Cancer Patient,Skin,https://www.culturecollections.org.uk/nop/product/gs-109-v-63,90110503,General Cell,Human
KLN 205,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/kln-205,90110519,General Cell,Mouse
MOPC 31C,Other,Plasmacytoma,Blood,https://www.culturecollections.org.uk/nop/product/mopc-31c,90110707,General Cell,Mouse
Detroit 573,Other,Multiple Congenital Anomalies,Skin,https://www.culturecollections.org.uk/nop/product/detroit-573,90112601,General Cell,Human
Hs 888Lu,Cancer,Normal Tissue from Cancer Patient,Lung,https://www.culturecollections.org.uk/nop/product/hs-888lu,90112709,General Cell,Human
H69V,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/h69v,91091803,General Cell,Human
RAJI TK-,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/raji-tk-,91112125,General Cell,Human
COR-L47,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l47,92031915,General Cell,Human
ND3,Blastoma,Neuroblastoma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/nd3,92090901,General Cell,Hybrid
ND7/23,Blastoma,Neuroblastoma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/nd723,92090903,General Cell,Hybrid
ND8/34,Blastoma,Neuroblastoma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/nd834,92090904,General Cell,Hybrid
ECV304,Carcinoma,Carcinoma,Bladder,https://www.culturecollections.org.uk/nop/product/ecv304,92091712,General Cell,Human
Hepa 1-6,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/hepa-1-6,92110305,General Cell,Mouse
RN 22,Other,Schwannoma,Nerve,https://www.culturecollections.org.uk/nop/product/rn-22,93011414,General Cell,Rat
TF1,Leukaemia,Erythroleukaemia,Blood,https://www.culturecollections.org.uk/nop/product/tf1,93022307,General Cell,Human
COLO 320 DMF,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/colo-320-dmf,93051118,General Cell,Human
COLO 699 N,Carcinoma,Adenocarcinoma,Lymph node,https://www.culturecollections.org.uk/nop/product/colo-699-n,93052608,General Cell,Human
COLO 858,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/colo-858,93052613,General Cell,Human
M1,Leukaemia,Myelogenous Leukaemia,Bone,https://www.culturecollections.org.uk/nop/product/m1-2,93120826,General Cell,Mouse
RPMI 1846,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/rpmi-1846-2,93120834,General Cell,Hamster
COLO 738,Other,Melanoma,Lung,https://www.culturecollections.org.uk/nop/product/colo-738,94072238,General Cell,Human
G,Carcinoma,Adenocarcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/g,94101453,General Cell,Rat
MAT-LyLu,Carcinoma,Adenocarcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/mat-lylu,94101454,General Cell,Rat
DMS 153,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/dms-153,95062827,General Cell,Human
RIN-m,Tumour,Islet Cell Tumour,Pancreas,https://www.culturecollections.org.uk/nop/product/rin-m,95071701,General Cell,Rat
P19,Carcinoma,Carcinoma,Embryo,https://www.culturecollections.org.uk/nop/product/p19,95102107,General Cell,Mouse
COR-L24,Cancer,Small Cell Cancer,Lymph node,https://www.culturecollections.org.uk/nop/product/cor-l24,96020717,General Cell,Human
NCI-H69/LX4,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/nci-h69lx4,96042329,General Cell,Human
MOR/0.2R,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/mor02r,96042335,General Cell,Human
J.CaM1.6,Leukaemia,Lymphoblastic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/jcam16,96060401,General Cell,Human
Eos-HL-60,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/eos-hl-60,96100920,General Cell,Human
C32TG (melanoma),Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/c32tg-melanoma,96020925,General Cell,Human
IMR-33,Other,Fibroma,Connective tissue,https://www.culturecollections.org.uk/nop/product/imr-33,96020931,General Cell,Gerbil
1411H,Carcinoma,Carcinoma,Other,https://www.culturecollections.org.uk/nop/product/1411h,06011805,General Cell,Human
1777N Rpmet,Carcinoma,Carcinoma,Other,https://www.culturecollections.org.uk/nop/product/1777n-rpmet,06011801,General Cell,Human
HCA-7,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-7,06061902,General Cell,Human
RT4/31,Other,Papilloma,Bladder,https://www.culturecollections.org.uk/nop/product/rt431,86082102,General Cell,Human
L5178Y-S (LY-S),Lymphoma,Lymphoma,Other,https://www.culturecollections.org.uk/nop/product/l5178y-s-ly-s,93050408,General Cell,Mouse
COV644,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/cov644,07071908,General Cell,Human
COV413B,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/cov413b,07071906,General Cell,Human
PE/CA-PJ34 (clone C12),Carcinoma,Squamous Cell Carcinoma,Mouth,https://www.culturecollections.org.uk/nop/product/peca-pj34-clone-c12,97062513,General Cell,Human
KHOS/NP,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/khosnp,84102903,General Cell,Human
MOPC 315,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/mopc-315,85022106,General Cell,Mouse
